Date,AAPL,MSFT,NVDA,GOOGL,AMZN,VIX
2021-05-18,121.80989074707031,233.24972534179688,13.980512619018555,112.19620513916016,161.61399841308594,21.34000015258789
2021-05-19,121.65380859375,233.8268585205078,14.030388832092285,112.64399719238281,161.58999633789062,22.18000030517578
2021-05-20,124.20999908447266,237.0583953857422,14.575763702392578,114.4019775390625,162.38400268554688,20.670000076293945
2021-05-21,122.37577056884766,235.79844665527344,14.954059600830078,113.76622009277344,160.1540069580078,20.149999618530273
2021-05-24,124.0051040649414,241.1940155029297,15.572751998901367,117.08430480957031,162.24949645996094,18.399999618530273
2021-05-25,123.80999755859375,242.09808349609375,15.608410835266113,117.17505645751953,162.95249938964844,18.84000015258789
2021-05-26,123.76119995117188,241.87681579589844,15.660526275634766,118.03990173339844,163.25799560546875,17.360000610351562
2021-05-27,122.22941589355469,239.78021240234375,15.449061393737793,117.16563415527344,161.5054931640625,16.739999771118164
2021-05-28,121.57575988769531,240.13609313964844,16.203657150268555,116.87652587890625,161.15350341796875,16.760000228881836
2021-06-01,121.2537841796875,237.94322204589844,16.223609924316406,118.08304595947266,160.9324951171875,17.899999618530273
2021-06-02,122.01480102539062,237.84701538085938,16.736068725585938,117.55789184570312,161.69949340820312,17.479999542236328
2021-06-03,120.53179931640625,236.3177947998047,16.92708396911621,116.41680908203125,159.35049438476562,18.040000915527344
2021-06-04,122.82457733154297,241.20364379882812,17.5340576171875,118.69747161865234,160.31100463867188,16.420000076293945
2021-06-07,122.83433532714844,244.10818481445312,17.5747013092041,119.1303939819336,159.90049743652344,16.420000076293945
2021-06-08,123.65388488769531,242.91563415527344,17.41311264038086,118.93896484375,163.20550537109375,17.06999969482422
2021-06-09,124.03437805175781,243.89657592773438,17.318580627441406,119.41007232666016,164.0574951171875,17.889999389648438
2021-06-10,123.03919982910156,247.4070587158203,17.385175704956055,120.75843811035156,167.4824981689453,16.100000381469727
2021-06-11,124.24901580810547,248.03224182128906,17.784515380859375,120.51395416259766,167.3415069580078,15.649999618530273
2021-06-14,127.30278778076172,249.955810546875,17.977567672729492,121.44178771972656,169.19349670410156,16.389999389648438
2021-06-15,126.48326110839844,248.48431396484375,17.747844696044922,120.42420959472656,169.156494140625,17.020000457763672
2021-06-16,126.98084259033203,247.541748046875,17.769540786743164,119.7824935913086,170.7624969482422,18.149999618530273
2021-06-17,128.58091735839844,250.9272003173828,18.614608764648438,120.74554443359375,174.46200561523438,17.75
2021-06-18,127.28327941894531,249.51336669921875,18.59615135192871,119.12641906738281,174.34500122070312,20.700000762939453
2021-06-21,129.07852172851562,252.59104919433594,18.385135650634766,120.81397247314453,172.697998046875,17.889999389648438
2021-06-22,130.71759033203125,255.36090087890625,18.843585968017578,121.32772064208984,175.27200317382812,16.65999984741211
2021-06-23,130.4444122314453,255.13018798828125,19.01369285583496,121.12590026855469,175.1909942626953,16.31999969482422
2021-06-24,130.16143798828125,256.4958801269531,19.16160774230957,121.49583435058594,172.45399475097656,15.970000267028809
2021-06-25,129.86875915527344,254.8896942138672,18.987504959106445,121.5042724609375,170.072998046875,15.619999885559082
2021-06-28,131.49810791015625,258.4482421875,19.939327239990234,121.53155517578125,172.1945037841797,15.760000228881836
2021-06-29,133.01036071777344,261.0258483886719,19.98097801208496,121.27019500732422,172.40699768066406,16.020000457763672
2021-06-30,133.6250457763672,260.5448913574219,19.956787109375,121.08869934082031,172.00799560546875,15.829999923706055
2021-07-01,133.92745971679688,261.21820068359375,20.16580581665039,121.4407958984375,171.64849853515625,15.479999542236328
