Date,AAPL,MSFT,NVDA,GOOGL,AMZN
2022-07-14,78140700,25102800,456235000,37004000,51163100
2022-07-15,76259900,29774100,385935000,46770000,84317800
2022-07-18,81420900,20975000,670517000,43164600,59115400
2022-07-19,82982400,25012600,702366000,36530900,60990000
2022-07-20,64823400,22788300,760538000,35600400,71268300
2022-07-21,65086600,22404700,557049000,32676200,60239900
2022-07-22,66675400,21881300,536671000,48901200,51463800
2022-07-25,53623900,21056000,480748000,34690900,50221300
2022-07-26,55138700,39348000,397865000,47991000,67075100
2022-07-27,78620700,45994000,569776000,59858500,61582000
2022-07-28,81378700,33459300,474646000,32816600,82245500
2022-07-29,101786900,32152800,435460000,37223400,148892900
2022-08-01,67829400,21539600,476469000,26034300,76846900
2022-08-02,59907000,22754200,489527000,20236000,61922400
2022-08-03,82507500,23518900,418146000,28499000,71827800
2022-08-04,55474100,18098700,409652000,21602900,70585000
2022-08-05,56697000,16774600,386068000,19159500,50686900
2022-08-08,60276900,18739200,981859000,19138300,52229000
2022-08-09,63135500,23405200,668263000,19086500,40434700
2022-08-10,70170500,24687800,597422000,30930400,54773800
2022-08-11,57149200,20065900,509327000,24293700,44867300
2022-08-12,68039400,22619700,478094000,19096300,47643500
2022-08-15,54091700,18085700,457666000,19494800,39014600
2022-08-16,56377100,18102900,451240000,19041200,59102900
2022-08-17,79542000,18253400,446799000,22847000,48149800
2022-08-18,62290100,17186200,415447000,17987700,37458700
2022-08-19,70346300,20570000,441588000,21809500,47792800
2022-08-22,69026800,25061100,409593000,21456600,50461500
2022-08-23,54147100,17527400,369986000,15870400,36252100
2022-08-24,53841500,18137000,522661000,17734600,38627000
2022-08-25,51218200,16583400,770691000,16956800,37496300
2022-08-26,78961000,27549300,769127000,37245700,53322700
2022-08-29,73314000,20338500,496132000,21191200,48101600
2022-08-30,77906200,22767100,530181000,27513300,49203000
2022-08-31,87991100,24791800,573710000,28627000,53648700
2022-09-01,74229900,23263400,1178865000,28360900,56636100
2022-09-02,76957800,22855400,743157000,24160700,57429800
2022-09-06,73714800,21328200,535751000,25068300,43888600
2022-09-07,87449600,24126700,512657000,23167000,47900300
2022-09-08,84923800,20319900,624873000,24238300,43988500
2022-09-09,68028800,22084700,486612000,23197700,49387600
2022-09-12,104956000,18747700,484159000,22966800,53826900
2022-09-13,122656600,33353300,714956000,38172900,72694000
2022-09-14,87965400,23913000,588507000,26395100,45316800
2022-09-15,90481100,31530900,523625000,34188300,52887200
2022-09-16,162278800,39791800,670751000,42797200,115667800
2022-09-19,81474200,26826900,569685000,23036800,47279700
2022-09-20,107689800,26660300,524818000,26517100,47698400
2022-09-21,101696800,28625600,807679000,31487300,58498900
2022-09-22,86652500,31061200,759162000,34298600,55229200
2022-09-23,96029900,34176000,663309000,31625400,65126700
2022-09-26,93339400,27694200,547343000,27072700,62723300
2022-09-27,84442700,27018700,553854000,30072800,60094700
2022-09-28,146691400,29029700,542414000,32466300,55763800
2022-09-29,128138200,27484200,532763000,31047200,58969700
2022-09-30,124925300,35694800,565638000,32941500,59479600
2022-10-03,114311700,28880400,547478000,27982000,50941900
2022-10-04,87830100,34888400,584182000,28850800,62812600
2022-10-05,79471000,20347100,507131000,22176900,48217500
2022-10-06,68402200,20239900,644157000,22324000,42253800
2022-10-07,85925600,37769600,672478000,27502800,54678000
2022-10-10,74899000,29743600,698699000,18225100,42339700
2022-10-11,77033700,30474000,667482000,26507100,56432200
2022-10-12,70433700,21903900,492590000,21876400,45728700
2022-10-13,113224000,42551800,850103000,34574500,86868100
2022-10-14,88598000,30198600,713432000,25410700,67737300
2022-10-17,85250900,28142300,580774000,28419200,62782000
2022-10-18,99136600,26329600,659362000,24060700,65607400
2022-10-19,61758300,19985700,523131000,23811100,47198100
2022-10-20,64522000,21811000,652398000,25323200,48795100
2022-10-21,86548600,26299700,609494000,32458700,55660500
2022-10-24,75981900,24911200,517457000,27176400,49531500
2022-10-25,74732300,34775500,505482000,40611400,50934600
2022-10-26,88194300,82543200,532953000,88114100,68802300
2022-10-27,109180200,40424600,583113000,60710900,129605400
2022-10-28,164762400,40647700,521040000,43697300,223133400
2022-10-31,97943200,28357300,486341000,31675000,99251400
2022-11-01,80379300,30592300,432817000,47161400,153370000
2022-11-02,93604600,38407000,672628000,57038300,135761800
2022-11-03,97918500,36633900,500065000,61288000,136683300
2022-11-04,140814800,36789100,612576000,51124900,129101300
2022-11-07,83374600,33498000,410061000,34078900,77495700
2022-11-08,89908500,28192500,595292000,30429000,88703400
2022-11-09,74917800,27852900,454414000,31769100,90796200
2022-11-10,118854000,46268000,700819000,51620100,173414900
2022-11-11,93979700,34620200,655487000,33090500,111590500
2022-11-14,73374100,31123300,527852000,30179500,99533100
2022-11-15,89868300,31390100,545876000,41640800,111336300
2022-11-16,64218300,24093300,649547000,29105200,87958800
2022-11-17,80389400,23123500,710894000,26052600,82617900
2022-11-18,74829600,27613500,492072000,28342300,72428200
2022-11-21,58724100,26394700,404739000,21647400,84330300
2022-11-22,51804100,19665700,472866000,23438500,62192000
2022-11-23,58301400,19508500,427241000,18868100,59414700
2022-11-25,35195900,9200800,167934000,9701400,35088600
2022-11-28,69246000,24778200,303741000,26237500,74943100
2022-11-29,83763800,17956300,298384000,20061700,65567300
2022-11-30,111380900,47594200,565298000,43647500,102805800
2022-12-01,71250400,26041500,470977000,28687100,68488000
2022-12-02,65447400,21528500,371389000,21480700,72496400
2022-12-05,68826400,23435300,352255000,24405100,71535500
2022-12-06,64727200,22463700,352694000,24910700,75503600
2022-12-07,69721100,20481500,372388000,31045400,68086900
2022-12-08,62128300,22611800,515456000,32213300,73305900
2022-12-09,76097000,20609700,465338000,28225400,67398500
2022-12-12,70462700,30665100,457328000,29420000,61999800
2022-12-13,93886200,42196900,656589000,40593700,100212000
2022-12-14,82291200,35410900,496888000,28733600,70298000
2022-12-15,98931900,35560400,478542000,40107000,84802900
2022-12-16,160156900,86102000,478232000,58011800,146144100
2022-12-19,79592600,29696400,354039000,29493000,83531500
2022-12-20,77432800,25150800,403260000,23453800,74348300
2022-12-21,85928000,23690600,325025000,24745600,59267200
2022-12-22,77852100,28651700,565045000,27658300,81431300
2022-12-23,63814900,21207000,349326000,23003000,57433700
2022-12-27,69007800,16688600,464902000,20097300,57284000
2022-12-28,85438400,17457100,351066000,19523200,58228600
2022-12-29,75703700,19770700,354923000,23333500,54995900
2022-12-30,77034200,21938500,310490000,23986300,62401200
2023-01-03,112117500,25740000,401277000,28131200,76706000
2023-01-04,89113600,50623400,431324000,34854800,68885100
2023-01-05,80962700,39585600,389168000,27194400,67930800
2023-01-06,87754700,43613600,405044000,41381500,83303400
2023-01-09,70790800,27369800,504231000,29003900,65266100
2023-01-10,63896200,27033900,384101000,30467800,67756600
2023-01-11,69458900,28669300,353285000,26862000,103126200
2023-01-12,71379600,27269500,551409000,30258100,85254800
2023-01-13,57809700,21333300,447287000,26329200,85549400
2023-01-17,63646600,29831300,511102000,32602400,72755000
2023-01-18,69672800,30028700,439624000,29116700,79570400
2023-01-19,58280400,28623000,452932000,37000400,69002700
2023-01-20,80223600,35389800,564967000,63191100,67481500
2023-01-23,81760300,31934000,655163000,40005100,76501100
2023-01-24,66435100,40234400,496204000,33078500,66929500
2023-01-25,65799300,66526600,449537000,42330000,94261600
2023-01-26,54105100,33454500,489535000,30114000,68523600
2023-01-27,70555800,26498900,542142000,33879800,87775600
2023-01-30,64015300,25867400,488611000,27226200,70691900
2023-01-31,65874500,26541100,498017000,29870700,66527300
2023-02-01,77663600,31259900,660477000,35531100,80450100
2023-02-02,118339000,39940400,564276000,69883800,158154200
2023-02-03,154357300,29077300,429366000,65309300,144374800
2023-02-06,69858300,22518000,452197000,31999600,81945200
2023-02-07,83322600,50841400,664150000,49010200,119501300
2023-02-08,64120100,54686000,559651000,94743500,75878300
2023-02-09,56007100,42375100,523876000,119455000,64622500
2023-02-10,57450700,25818500,550737000,54980700,52740100
2023-02-13,62199000,44630900,474919000,50076100,52841500
2023-02-14,61707600,37047900,675474000,54726100,56202900
2023-02-15,65573800,28922400,420575000,50169000,47957600
2023-02-16,68167900,29603600,412026000,42462600,56339200
2023-02-17,59144100,30000100,465888000,34284100,60029400
2023-02-21,58867200,28397400,410015000,33629300,56580400
2023-02-22,51011300,22491100,513184000,30884000,59534100
2023-02-23,48394200,29219100,1117995000,41206400,48467000
2023-02-24,55469600,24990900,589716000,36585100,57053800
2023-02-27,44998500,21190000,452994000,27502300,47470300
2023-02-28,50547000,22491000,455963000,30142000,43959300
2023-03-01,55479000,27565300,460026000,31111200,52299500
2023-03-02,52238100,24808200,389415000,32204400,55509400
2023-03-03,70732300,30760100,412393000,35160100,55759600
2023-03-06,87558000,24109800,437429000,32639300,52112400
2023-03-07,56182000,21473200,515154000,27835500,49100700
2023-03-08,47204800,17340200,513573000,34103300,44899100
2023-03-09,53833600,26653400,501257000,28813500,56218700
2023-03-10,68572400,28333900,474866000,35941000,69827500
2023-03-13,84457100,33339700,421890000,37335600,72397100
2023-03-14,73695900,33620300,474910000,36050200,60912700
2023-03-15,77167900,46028000,524486000,50622100,70731800
2023-03-16,76161100,54768800,583253000,65492000,84446900
2023-03-17,98944600,69527400,848547000,61028500,87300200
2023-03-20,73641400,43466600,432747000,32960400,62388900
2023-03-21,73938300,34558700,547408000,42110300,58597300
2023-03-22,75701800,34873300,797295000,43427400,57475400
2023-03-23,67622100,36610900,564889000,40797800,57559300
2023-03-24,59196500,28172000,454920000,30393300,56095400
2023-03-27,52390300,26840200,361026000,31120900,46721300
2023-03-28,45992200,21878600,356104000,32057900,38720100
2023-03-29,51305700,25087000,393694000,28779600,49783300
2023-03-30,49501700,25053400,364516000,33086200,53633400
2023-03-31,68749800,32766000,433933000,36863400,56750300
2023-04-03,56976200,24883300,398716000,25035400,41135700
2023-04-04,46278300,25824300,368592000,24420100,48662500
2023-04-05,51511700,22064800,515015000,28290500,45175400
2023-04-06,45390100,29770300,397654000,48711500,43808000
2023-04-10,47716900,23103000,395279000,27067400,37261200
2023-04-11,47644200,27276600,314378000,26311800,60417800
2023-04-12,50133100,27403400,446259000,24370300,56735000
2023-04-13,68445600,24222700,353615000,24843600,67925100
2023-04-14,49386500,20987900,395660000,26578000,51450500
2023-04-17,41516200,23836200,321471000,37571200,39919500
2023-04-18,49923000,20161800,604812000,26596400,39790500
2023-04-19,47720200,17150300,358660000,20905700,58398900
2023-04-20,52456400,23244400,427713000,27820800,57696900
2023-04-21,58337300,21676400,345103000,25800100,86774200
2023-04-24,41949600,26611000,339282000,23542800,69575600
2023-04-25,48714100,45772200,378527000,46664100,65026800
2023-04-26,45498800,64599200,406337000,53347600,73803800
2023-04-27,64902300,46462600,377161000,50089200,149961200
2023-04-28,55275900,36469600,292216000,36139800,130715900
2023-05-01,52472900,21294100,570329000,26681700,74728100
2023-05-02,48425700,26404400,402730000,30997200,73469400
2023-05-03,65136000,22360800,383387000,21795400,65051900
2023-05-04,81235400,22519900,321850000,23419500,45345500
2023-05-05,113453200,28197100,361494000,26639300,56951700
2023-05-08,55962800,21318600,344979000,26511400,49430900
